,noteId,noteAuthorParticipantId,createdAtMillis,timestampMillisOfFirstNonNMRStatus,firstNonNMRStatus,timestampMillisOfCurrentStatus,currentStatus,timestampMillisOfLatestNonNMRStatus,mostRecentNonNMRStatus,timestampMillisOfStatusLock,lockedStatus,timestampMillisOfRetroLock,currentCoreStatus,currentExpansionStatus,currentGroupStatus,currentDecidedBy,currentModelingGroup
328,1545250866067914752,983A2DF15BACC9D57AD0EE9D990EF21CFB5D2A2E65F453720FB3F26DF3EC9EF9,1657251490502,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
329,1545238178746990592,BD5EF9C900C3E521FF7C18F86F9B023DA6958B3F2931E48499C0308F9028858B,1657248465608,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
330,1545274008425402368,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657257008068,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
331,1545273478198214656,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657256881652,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
332,1545273652660375552,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657256923248,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
333,1545273344110493697,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657256849685,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
334,1545273900719824897,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657256982390,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
335,1545275568270331905,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657257379965,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
336,1545274981076041730,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657257239968,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
337,1545274364840607747,45C058E27ED45C579AE616E3D7346D2F37BA94C81A912448DAE9A00BB2FF464B,1657257093045,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
